source,target,relationship,description
84,18,Invest,The organisation invest in geothermal projects in Japan.
85,18,Invest,The organisation invest in geothermal projects in Japan.
86,18,Invest,The organisation invest in geothermal projects in Japan.
87,18,Invest,The organisation invest in geothermal projects in Japan.
88,18,Invest,The organisation invest in geothermal projects in Japan.
89,18,Invest,The organisation invest in geothermal projects in Japan.
90,18,Invest,The organisation invest in geothermal projects in Japan.
91,18,Invest,The organisation invest in geothermal projects in Japan.
92,18,Invest,The organisation invest in geothermal projects in Japan.
93,18,Invest,The organisation invest in geothermal projects in Japan.
94,18,Invest,The organisation invest in geothermal projects in Japan.
95,10,Utilises,The organisation takes advantage of the tax incentive to invest in nuclear projects in Japan.
69,19,Invest,The organisation invest in nuclear projects in Japan.
95,19,Invest,The organisation invest in nuclear projects in Japan.
2,4,Availability,Availability of solar energy in China
2,5,Availability,Availability of wind energy in China
2,6,Availability,Availability of Hydro energy in China
2,7,Availability,Availability of Biomass in China
2,8,Availability,Availability of Geothermal in China
2,9,Availability,Availability of Nuclear Power in China
2,96,Implements,China implements tax incentive policies to encourage investment.
2,98,Allocates,China allocates funds for subsidies through the budget.
98,97,Funds,Subsidies are funded through China's budget.
105,96,Utilises,"The organisation takes advantage of the tax incentive to invest in wind energy projects in China, wind energy projects in Australia."
106,96,Utilises,"The organisation takes advantage of the tax incentive to invest in wind energy projects, hydro power projects in China."
107,96,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in China.
108,96,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in China.
109,96,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in China.
110,96,Utilises,"The organisation takes advantage of the tax incentive to invest in wind energy projects, hydropower projects in China."
111,96,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in China.
112,96,Utilises,"The organisation takes advantage of the tax incentive to invest in wind energy projects, hydropower projects in China."
113,96,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in China.
114,96,Utilises,"The organisation takes advantage of the tax incentive to invest in wind energy projects, biomass projects, hydropower projects in China."
115,96,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in China.
116,96,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in China.
117,96,Utilises,"The organisation takes advantage of the tax incentive to invest in wind energy projects, biomass projects, hydropower projects, nuclear power projects in China."
118,96,Utilises,"The organisation takes advantage of the tax incentive to invest in wind energy projects, biomass projects, hydropower projects in China."
119,96,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in China.
120,96,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in China.
36,99,Invest,The organisation invest in wind energy projects in China.
39,99,Invest,The organisation invest in wind energy projects in China.
105,99,Invest,The organisation invest in wind energy projects in China.
106,99,Invest,"The organisation invest in wind energy projects, solar energy projects in China."
107,99,Invest,The organisation invest in wind energy projects in China.
108,99,Invest,The organisation invest in wind energy projects in China.
109,99,Invest,The organisation invest in wind energy projects in China.
110,99,Invest,The organisation invest in wind energy projects in China.
111,99,Invest,The organisation invest in wind energy projects in China.
112,99,Invest,The organisation invest in wind energy projects in China.
113,99,Invest,The organisation invest in wind energy projects in China.
114,99,Invest,"The organisation invest in wind energy projects, solar energy projects in China."
115,99,Invest,The organisation invest in wind energy projects in China.
116,99,Invest,The organisation invest in wind energy projects in China.
117,99,Invest,"The organisation invest in wind energy projects, solar energy projects in China."
118,99,Invest,"The organisation invest in wind energy projects, solar energy projects in China."
119,99,Invest,The organisation invest in wind energy projects in China.
120,99,Invest,The organisation invest in wind energy projects in China.
121,96,Utilises,"The organisation takes advantage of the tax incentive to invest in solar energy projects, biomass projects, nuclear power projects in China."
122,96,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in China.
123,96,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in China.
124,96,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in China.
125,96,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in China.
126,96,Utilises,"The organisation takes advantage of the tax incentive to invest in solar energy projects, biomass projects, geothermal energy in China."
127,96,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in China.
128,96,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in China.
129,96,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in China.
56,100,Invest,The organisation invest in solar energy projects in China.
58,100,Invest,The organisation invest in solar energy projects in China.
106,100,Invest,The organisation invest in solar energy projects in China.
114,100,Invest,The organisation invest in solar energy projects in China.
117,100,Invest,The organisation invest in solar energy projects in China.
118,100,Invest,The organisation invest in solar energy projects in China.
121,100,Invest,The organisation invest in solar energy projects in China.
122,100,Invest,The organisation invest in solar energy projects in China.
123,100,Invest,The organisation invest in solar energy projects in China.
124,100,Invest,The organisation invest in solar energy projects in China.
125,100,Invest,The organisation invest in solar energy projects in China.
126,100,Invest,The organisation invest in solar energy projects in China.
127,100,Invest,The organisation invest in solar energy projects in China.
128,100,Invest,The organisation invest in solar energy projects in China.
129,100,Invest,The organisation invest in solar energy projects in China.
130,96,Utilises,The organisation takes advantage of the tax incentive to invest in biomass projects in China.
131,96,Utilises,The organisation takes advantage of the tax incentive to invest in biomass projects in China.
132,96,Utilises,The organisation takes advantage of the tax incentive to invest in biomass projects in China.
114,101,Invest,The organisation invest in biomass projects in China.
117,101,Invest,The organisation invest in biomass projects in China.
118,101,Invest,The organisation invest in biomass projects in China.
121,101,Invest,The organisation invest in biomass projects in China.
126,101,Invest,The organisation invest in biomass projects in China.
130,101,Invest,The organisation invest in biomass projects in China.
131,101,Invest,The organisation invest in biomass projects in China.
132,101,Invest,The organisation invest in biomass projects in China.
133,96,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in China.
134,96,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in China.
135,96,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in China.
136,96,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in China.
137,96,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in China.
138,96,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in China.
139,96,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in China.
140,96,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in China.
141,96,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in China.
142,96,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in China.
143,96,Utilises,"The organisation takes advantage of the tax incentive to invest in hydropower projects, geothermal energy in China."
144,96,Utilises,"The organisation takes advantage of the tax incentive to invest in hydropower projects, geothermal energy in China."
106,102,Invest,The organisation invest in hydropower projects in China.
110,102,Invest,The organisation invest in hydropower projects in China.
112,102,Invest,The organisation invest in hydropower projects in China.
114,102,Invest,The organisation invest in hydropower projects in China.
117,102,Invest,The organisation invest in hydropower projects in China.
118,102,Invest,The organisation invest in hydropower projects in China.
133,102,Invest,The organisation invest in hydropower projects in China.
134,102,Invest,The organisation invest in hydropower projects in China.
135,102,Invest,The organisation invest in hydropower projects in China.
136,102,Invest,The organisation invest in hydropower projects in China.
137,102,Invest,The organisation invest in hydropower projects in China.
138,102,Invest,The organisation invest in hydropower projects in China.
139,102,Invest,The organisation invest in hydropower projects in China.
140,102,Invest,The organisation invest in hydropower projects in China.
141,102,Invest,The organisation invest in hydropower projects in China.
142,102,Invest,The organisation invest in hydropower projects in China.
143,102,Invest,The organisation invest in hydropower projects in China.
144,102,Invest,The organisation invest in hydropower projects in China.
145,96,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in China.
146,96,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in China.
147,96,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in China.
148,96,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in China.
149,96,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in China.
150,96,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in China.
151,96,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in China.
152,96,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in China.
153,96,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in China.
126,103,Invest,The organisation invest in geothermal projects in China.
143,103,Invest,The organisation invest in geothermal projects in China.
144,103,Invest,The organisation invest in geothermal projects in China.
145,103,Invest,The organisation invest in geothermal projects in China.
146,103,Invest,The organisation invest in geothermal projects in China.
147,103,Invest,The organisation invest in geothermal projects in China.
148,103,Invest,The organisation invest in geothermal projects in China.
149,103,Invest,The organisation invest in geothermal projects in China.
150,103,Invest,The organisation invest in geothermal projects in China.
151,103,Invest,The organisation invest in geothermal projects in China.
152,103,Invest,The organisation invest in geothermal projects in China.
153,103,Invest,The organisation invest in geothermal projects in China.
154,96,Utilises,The organisation takes advantage of the tax incentive to invest in nuclear power projects in China.
155,96,Utilises,The organisation takes advantage of the tax incentive to invest in nuclear power projects in China.
156,96,Utilises,The organisation takes advantage of the tax incentive to invest in nuclear power projects in China.
157,96,Utilises,The organisation takes advantage of the tax incentive to invest in nuclear power projects in China.
117,104,Invest,The organisation invest in nuclear power projects in China.
121,104,Invest,The organisation invest in nuclear power projects in China.
154,104,Invest,The organisation invest in nuclear power projects in China.
155,104,Invest,The organisation invest in nuclear power projects in China.
156,104,Invest,The organisation invest in nuclear power projects in China.
157,104,Invest,The organisation invest in nuclear power projects in China.
3,4,Availability,Availability of solar energy in Australia
3,5,Availability,Availability of wind energy in Australia
3,6,Availability,Availability of Hydro energy in Australia
3,7,Availability,Availability of Biomass in Australia
3,8,Availability,Availability of Geothermal in Australia
3,158,Implements,Australia implements tax incentive policies to encourage investment.
3,160,Allocates,Australia allocates funds for subsidies through the budget.
160,159,Funds,Subsidies are funded through Australia's budget.
166,158,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Australia.
167,158,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Australia.
168,158,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Australia.
169,158,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Australia.
170,158,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Australia.
171,158,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Australia.
172,158,Utilises,"The organisation takes advantage of the tax incentive to invest in wind energy projects, hydropower projects in Australia."
173,158,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Australia.
174,158,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Australia.
175,158,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Australia.
176,158,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Australia.
177,158,Utilises,"The organisation takes advantage of the tax incentive to invest in wind energy projects, hydropower projects in Australia."
178,158,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Australia.
179,158,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Australia.
180,158,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Australia.
181,158,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Australia.
182,158,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Australia.
183,158,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Australia.
184,158,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Australia.
185,158,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Australia.
186,158,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Australia.
187,158,Utilises,"The organisation takes advantage of the tax incentive to invest in wind energy projects, biomass projects in Australia."
188,158,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Australia.
34,161,Invest,The organisation invest in wind energy projects in Australia.
36,161,Invest,The organisation invest in wind energy projects in Australia.
39,161,Invest,The organisation invest in wind energy projects in Australia.
69,161,Invest,The organisation invest in wind energy projects in Australia.
105,161,Invest,The organisation invest in wind energy projects in Australia.
166,161,Invest,The organisation invest in wind energy projects in Australia.
167,161,Invest,The organisation invest in wind energy projects in Australia.
168,161,Invest,The organisation invest in wind energy projects in Australia.
169,161,Invest,The organisation invest in wind energy projects in Australia.
170,161,Invest,The organisation invest in wind energy projects in Australia.
171,161,Invest,The organisation invest in wind energy projects in Australia.
172,161,Invest,The organisation invest in wind energy projects in Australia.
173,161,Invest,The organisation invest in wind energy projects in Australia.
174,161,Invest,The organisation invest in wind energy projects in Australia.
175,161,Invest,The organisation invest in wind energy projects in Australia.
176,161,Invest,The organisation invest in wind energy projects in Australia.
177,161,Invest,The organisation invest in wind energy projects in Australia.
178,161,Invest,The organisation invest in wind energy projects in Australia.
179,161,Invest,The organisation invest in wind energy projects in Australia.
180,161,Invest,The organisation invest in wind energy projects in Australia.
181,161,Invest,The organisation invest in wind energy projects in Australia.
182,161,Invest,The organisation invest in wind energy projects in Australia.
183,161,Invest,The organisation invest in wind energy projects in Australia.
184,161,Invest,The organisation invest in wind energy projects in Australia.
185,161,Invest,The organisation invest in wind energy projects in Australia.
186,161,Invest,The organisation invest in wind energy projects in Australia.
187,161,Invest,The organisation invest in wind energy projects in Australia.
188,161,Invest,The organisation invest in wind energy projects in Australia.
189,158,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in Australia.
190,158,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in Australia.
191,158,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in Australia.
192,158,Utilises,"The organisation takes advantage of the tax incentive to invest in solar energy projects, hydropower projects in Australia."
193,158,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in Australia.
194,158,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in Australia.
195,158,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in Australia.
196,158,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in Australia.
197,158,Utilises,"The organisation takes advantage of the tax incentive to invest in solar energy projects, hydropower projects in Australia."
198,158,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in Australia.
199,158,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in Australia.
200,158,Utilises,"The organisation takes advantage of the tax incentive to invest in solar energy projects, biomass projects in Australia."
201,158,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in Australia.
202,158,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in Australia.
203,158,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in Australia.
56,162,Invest,The organisation invest in solar energy projects in Australia.
58,162,Invest,The organisation invest in solar energy projects in Australia.
59,162,Invest,The organisation invest in solar energy projects in Australia.
60,162,Invest,The organisation invest in solar energy projects in Australia.
128,162,Invest,The organisation invest in solar energy projects in Australia.
169,162,Invest,The organisation invest in solar energy projects in Australia.
172,162,Invest,The organisation invest in solar energy projects in Australia.
175,162,Invest,The organisation invest in solar energy projects in Australia.
177,162,Invest,The organisation invest in solar energy projects in Australia.
187,162,Invest,The organisation invest in solar energy projects in Australia.
189,162,Invest,The organisation invest in solar energy projects in Australia.
190,162,Invest,The organisation invest in solar energy projects in Australia.
191,162,Invest,The organisation invest in solar energy projects in Australia.
192,162,Invest,The organisation invest in solar energy projects in Australia.
193,162,Invest,The organisation invest in solar energy projects in Australia.
194,162,Invest,The organisation invest in solar energy projects in Australia.
195,162,Invest,The organisation invest in solar energy projects in Australia.
196,162,Invest,The organisation invest in solar energy projects in Australia.
197,162,Invest,The organisation invest in solar energy projects in Australia.
198,162,Invest,The organisation invest in solar energy projects in Australia.
199,162,Invest,The organisation invest in solar energy projects in Australia.
200,162,Invest,The organisation invest in solar energy projects in Australia.
201,162,Invest,The organisation invest in solar energy projects in Australia.
202,162,Invest,The organisation invest in solar energy projects in Australia.
203,162,Invest,The organisation invest in solar energy projects in Australia.
204,158,Utilises,The organisation takes advantage of the tax incentive to invest in biomass projects in Australia.
205,158,Utilises,The organisation takes advantage of the tax incentive to invest in biomass projects in Australia.
206,158,Utilises,The organisation takes advantage of the tax incentive to invest in biomass projects in Australia.
207,158,Utilises,The organisation takes advantage of the tax incentive to invest in biomass projects in Australia.
208,158,Utilises,The organisation takes advantage of the tax incentive to invest in biomass projects in Australia.
209,158,Utilises,The organisation takes advantage of the tax incentive to invest in biomass projects in Australia.
210,158,Utilises,The organisation takes advantage of the tax incentive to invest in biomass projects in Australia.
211,158,Utilises,The organisation takes advantage of the tax incentive to invest in biomass projects in Australia.
187,163,Invest,The organisation invest in biomass projects in Australia.
200,163,Invest,The organisation invest in biomass projects in Australia.
204,163,Invest,The organisation invest in biomass projects in Australia.
205,163,Invest,The organisation invest in biomass projects in Australia.
