Entity1,Relationship,Entity2,Date,Money
U.S.,interests (verb: ensure),DEPA,,
U.S.,interests (verb: argue),the Indo-Pacific,,
U.S.,interests (verb: advance),Indo-Pacific,,
U.S.,export (verb: commit),U.S.,March 2022,
U.S.,support (verb: propose),Indo-Pacific,,
U.S.,partners (verb: include),Japan,,
USMCA,agreement (verb: accord),IPEF,,
Ukraine,supply (verb: have),Russia,,
Van Uffelen,exports (verb: see),Chambers,2019,
Vietnam,cooperation (verb: locate),Mekong,,
WTO,partners (verb: take),Environmental Goods Agreement,,
Washington,developing (verb: do),America,,
White House,partners (verb: state),IPEF,,
White House,partner (verb: list),U.S.,,
kW,supply (verb: base),SMR,recent years,
more than $1 billion,partners (verb: announce),LNG,June 2019,more than $1 billion
the Association of Southeast Asian Nations,enhancing (verb: invite),ASEAN,its first year,
the Association of Southeast Asian Nations,imported (verb: import),ASEAN,June,
the Clean Energy Demand Initiative,shared (verb: sign),Pittsburgh,This week,
the Hydrogen Energy Supply Chain,exported (verb: produce),Victoria,October,
the Indo-Pacific,export (verb: emerge),ASEAN,,
the Indo-Pacific Economic Framework’s,agreements (verb: deliver),the United States,,
the Japan Nuclear Research and Development Organization,develop (verb: work),Indonesia,,
the Just Energy Transition Partnership,transition (verb: establish),Indonesia,2022,
the Perth USAsia Centre,collaboration (verb: recommend),the Climate Council,,
the U.S Energy Information Administration,exports (verb: accord),U.S.,mid-2023,
the U.S.-Australia Strategic Energy Partnership,partner (verb: recognize),the United States,,
the U.S.-Mexico-Canada Agreement,support (verb: believe),USMCA,2019,
the United States,partners,Indo-Pacific,,
the United States,agreement (verb: argue),Congress,,
the United States,partners (verb: be),Ukraine,,
the United States,partners (verb: announce),Indo-Pacific,,
the United States,support (verb: look),the U.S. International Development Finance Corporation,,
the United States,cooperation (verb: highlight),Australia,,
the United States,interests (verb: compete),Australia,,
the United States,partners (verb: tell),IPEF,,
the United States,supply (verb: seek),IPEF,,
the United States,finance (verb: agree),Japan,,
the United States,efforts (verb: coordinate),Japan,,
the United States,agreement (verb: withdraw),U.S.,early 2017,
the United States’ Lower Mekong Initiative,sharing (verb: give),LMI,,
the Western Green Energy Hub,export (verb: propose),$100 billion,,$100 billion
