Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp,translated_text,Energy_Category,Aspect_Category,processed_text,Likes_numeric,textblob_sentiment,TextBlob sentiment,TextBlob sentiment_category,bert_sentiment,bert_sentiment category,bert_sentiment_category,Country
财经小作文,@91rumor,"https://pbs.twimg.com/media/GYDUL4sb0AAPcxo?format=png&name=small, https://pbs.twimg.com/media/GYDUL4sb0AAPcxo?format=png&name=small",7.0,4.0,4.0,3.6K,https://x.com/91rumor/status/1837702000756264980,https://x.com/91rumor,"市场流行的观点

中国对经济下行不太关心，主要是

新质生产力，先进制造业、高科技产品、绿色能源和交通才是关键。

中国财政政策并没有放松，主要是害怕特朗普上台，到时没有更多的宽松工具。

最重要的是，上头并没有有真正的救房地产，不希望这成为未来经济的基础。",Sep 22,2024-09-22T03:54:34.000Z,"Popular market view

China is not very concerned about the economic downturn, mainly

New productive forces, advanced manufacturing, high -tech products, green energy and transportation are the key.

China's fiscal policy has not relaxed, mainly because of Trump's onto, and there will be no more loose tools.

The most important thing is that there is no real real estate to save real estate. I don't want this to become the foundation of the future economy.",Other,Policy,popular market view china concerned economic downturn mainly new productive force advanced manufacturing high tech product green energy transportation key china fiscal policy relaxed mainly trump onto loose tool important thing real real estate save real estate dont want become foundation future economy,4.0,0.1293400349650349,3.26,Neutral,2,Negative,Negative,China
BJD Review,@bjd_review,https://pbs.twimg.com/media/GRexq9QaYAAR_Of?format=jpg&name=small,1.0,,,89,https://x.com/bjd_review/status/1808109177082109954,https://x.com/bjd_review,"【中国稀土政策调整，引发西方媒体关注】
日前，国务院公布《稀土管理条例》，明确明确稀土资源属于国家所有，中国对稀土资源实行保护性开采。条例公布后马上受到西方媒体的高度关注。这是因为稀土资源在高科技制造业和绿色能源转型中发挥的重要作用，也跟西方媒体看待中国的眼光有很大关系。",Jul 2,2024-07-02T12:03:15.000Z,"[China's Rare Earth Policy Adjustment, which has aroused the attention of Western media]
A few days ago, the State Council announced the ""Rare Earth Management Regulations"", which clearly clarified that rare earth resources belonged to the state, and China implemented protective mining of rare earth resources.After the announcement was announced, it immediately received great attention from Western media.This is because rare earth resources play an important role in high -tech manufacturing and green energy transformation, and it also has a lot to do with Western media's view of China.",Other,Policy,china rare earth policy adjustment aroused attention western medium day ago state council announced rare earth management regulation clearly clarified rare earth resource belonged state china implemented protective mining rare earth resourcesafter announcement announced immediately received great attention western mediathis rare earth resource play important role high tech manufacturing green energy transformation also lot western medias view china,,0.1773333333333333,3.35,Neutral,2,Negative,Negative,China
ᴿᵉᵇᵉˡRFAChinese,@RFAChinese,,,,,303,https://x.com/RFAChinese/status/1678363186381176835,https://x.com/RFAChinese,"克里表示，他计划在7月16日这一周与中国气候特使解振华和其他“最高级别”官员会面。

中美也是清洁能源的两个最大投资者。两国政策对于世界能否避免全球变暖最严重的后果有着巨大影响。

然而，对于两国应以何种速度停止导致地球严重升温的化石燃料排放，双方存在深刻分歧。

https://buff.ly/3DaIsdm","Jul 10, 2023",2023-07-10T11:19:00.000Z,"Kerry said he plans to meet with the Chinese climate special envoy and other ""highest level"" officials on July 16.

China and the United States are also the two largest investors in clean energy.The policy of the two countries has a huge impact on whether the world can avoid the most serious consequences of global warming.

However, there are profound differences between the two sides of the fossil fuel emissions that the two countries to stop the earth's severe heating up.

https://buff.ly/3Daisdm",Other,Policy,kerry said plan meet chinese climate special envoy highest level official july china united state also two largest investor clean energythe policy two country huge impact whether world avoid serious consequence global warming however profound difference two side fossil fuel emission two country stop earth severe heating httpsbufflydaisdm,,0.1387566137566137,3.28,Neutral,2,Negative,Negative,China
ᴿᵉᵇᵉˡRFAChinese,@RFAChinese,,,,,229,https://x.com/RFAChinese/status/1800201256830476465,https://x.com/RFAChinese,"据国际能源机构的说法，去年，美国和欧盟在清洁能源技术领域取得了“重大进展”。

拜登政府数十亿美元的计划是美国历史上范围最广地使用产业政策的例子之一。

拜登提高关税是美国对中国的针对性贸易攻势的升级，征收关税的做法始于前总统特朗普。",Jun 11,2024-06-10T16:20:00.000Z,"According to international energy agencies, last year, the United States and the European Union achieved ""major progress"" in the field of clean energy technology.

The Biden government's billions of dollars is one of the most widely used industrial policies in the United States.

Biden's increase in tariffs is the upgrade of the United States' targeted trade offensive against China. The approach to levy tariffs began with former President Trump.",Other,Policy,according international energy agency last year united state european union achieved major progress field clean energy technology biden government billion dollar one widely used industrial policy united state bidens increase tariff upgrade united state targeted trade offensive china approach levy tariff began former president trump,,0.1036458333333333,3.21,Neutral,2,Negative,Negative,China
ᴿᵉᵇᵉˡRFAChinese,@RFAChinese,,,,,271,https://x.com/RFAChinese/status/1778040234401251610,https://x.com/RFAChinese,"白宫一直在考虑是否降低部分给美国消费者造成影响的关税，同时针对中国的绿色能源技术出口征收新关税。

拜登政府曾在2022年宣布暂停对太阳能行业征收关税，暂停令的两年期限过后，美国可能会在今年夏天重启太阳能关税。

中国对美国的贸易政策也有自己的不满

https://buff.ly/4arZTFj",Apr 10,2024-04-10T12:40:00.000Z,"The White House has been considering whether to reduce some tariffs that affect American consumers, and at the same time impose new tariffs on China's green energy technology exports.

The Biden government announced the suspension of tariffs on the solar industry in 2022. After the two -year period of the suspension order, the United States may restart solar tariffs this summer.

China has its own dissatisfaction with the US trade policy

https://buff.ly/4arztfj",Other,Policy,white house considering whether reduce tariff affect american consumer time impose new tariff china green energy technology export biden government announced suspension tariff solar industry two year period suspension order united state may restart solar tariff summer china dissatisfaction u trade policy httpsbufflyarztfj,,0.0893939393939394,3.18,Neutral,1,Very Negative,Very Negative,China
ᴿᵉᵇᵉˡRFAChinese,@RFAChinese,,,,,267,https://x.com/RFAChinese/status/1800164767912362207,https://x.com/RFAChinese,"预计欧洲官员们不久也将提高对华关税，尽管一些经济学家和环保人士警告，这些措施将减慢实现清洁能源目标的进程。由于中国向俄罗斯和伊朗倾斜，欧洲已对安全问题变得更加担忧。

西方接受产业政策的做法与美国及其盟国此前倡导的开放市场和最小政府干预的意识形态背道而驰。",Jun 10,2024-06-10T13:55:00.000Z,"It is expected that European officials will soon improve tariffs on China, although some economists and environmentalists warn that these measures will slow down the process of cleaning energy targets.Because China is inclined to Russia and Iran, Europe has become more concerned about security issues.

The practice of western acceptance of industrial policies comes counter to the open markets that the United States and its allies have previously advocated and the minimal government intervention.",Other,Policy,expected european official soon improve tariff china although economist environmentalist warn measure slow process cleaning energy targetsbecause china inclined russia iran europe become concerned security issue practice western acceptance industrial policy come counter open market united state ally previously advocated minimal government intervention,,-0.0358024691358024,2.93,Negative,3,Neutral,Neutral,China
ᴿᵉᵇᵉˡRFAChinese,@RFAChinese,,,,,152,https://x.com/RFAChinese/status/1829220473122476389,https://x.com/RFAChinese,"国轩高科从密歇根州的战略基金获得了8亿美元的州补贴，包括赠款和免税。该公司还有资格从《通货膨胀削减法案》中获得税收抵免。

中国企业可能获得与“绿色能源制造”投资相关1250亿美元的税收抵免。国会中的共和党人已经提出了立法，旨在阻止中国公司获取这些税收抵免。",Aug 30,2024-08-29T18:12:00.000Z,"Guoxuan Hi -Tech has obtained $ 800 million in State subsidies from Michigan's strategic fund, including gifts and tax -free.The company is also eligible to obtain tax credits from the Inflation Act.

Chinese companies may get tax credits related to ""Green Energy Manufacturing"" investment related to $ 125 billion.Republicans in Congress have proposed legislation to prevent Chinese companies from obtaining these tax claims.",Other,Policy,guoxuan hi tech obtained million state subsidy michigan strategic fund including gift tax freethe company also eligible obtain tax credit inflation act chinese company may get tax credit related green energy manufacturing investment related billionrepublicans congress proposed legislation prevent chinese company obtaining tax claim,,-0.04,2.92,Negative,1,Very Negative,Very Negative,China
ᴿᵉᵇᵉˡRFAChinese,@RFAChinese,,,,,270,https://x.com/RFAChinese/status/1816140033927045332,https://x.com/RFAChinese,"这份英译本大约为1.5万单词的文件只是简短而谨慎地呼吁“完善扩大消费长效机制”。

中共的中央委员会进一步强调了产业政策。党承诺完善推动“战略性产业”，涉及从可再生能源到航空航天等八个领域。这些行业与中国实施了10年的《中国制造2025》计划中的行业基本相同。",Jul 25,2024-07-24T15:55:00.000Z,"This English translation is about 15,000 words.

The Central Committee of the Communist Party of China further emphasized industrial policies.The party promises to improve the promotion of ""strategic industries"", involving eight areas such as renewable energy to aerospace.These industries have basically the same industry in the ""Made in China 2025"" plan for 10 years.",Other,Other,english translation word central committee communist party china emphasized industrial policiesthe party promise improve promotion strategic industry involving eight area renewable energy aerospacethese industry basically industry made china plan year,,0.0,3.0,Neutral,2,Negative,Negative,China
S.S,@horusi,,,,1.0,,https://x.com/horusi/status/1453274558224642050,https://x.com/horusi,中国能够成为世界工厂，其基础就是重化工业能够提供廉价的原材料，而廉价的原材料来自廉价的能源。一旦用清洁能源取代目前的煤电能源，中国制造业成本将大幅上升，中国很多企业都难以活下去。因此，这个政策会扼杀中国经济，摧毁现有经济基础和经济结构，中国经济结构会出现崩溃,"Oct 27, 2021",2021-10-27T08:17:09.000Z,"China can become a world factory, and its foundation is that heavy industry can provide cheap raw materials, and cheap raw materials come from cheap energy.Once the current coal power energy is replaced with clean energy, the cost of China's manufacturing industry will rise sharply, and many Chinese companies will be difficult to survive.Therefore, this policy will kill the Chinese economy and destroy the existing economic foundation and economic structure. China's economic structure will collapse.",Other,Policy,china become world factory foundation heavy industry provide cheap raw material cheap raw material come cheap energyonce current coal power energy replaced clean energy cost china manufacturing industry rise sharply many chinese company difficult survivetherefore policy kill chinese economy destroy existing economic foundation economic structure china economic structure collapse,,0.069419306184012,3.14,Neutral,1,Very Negative,Very Negative,China
Melody,@melodysayyes,,1.0,1.0,,,https://x.com/melodysayyes/status/1471775505179451397,https://x.com/melodysayyes,德国正在加速中国化。去哪都查你ID和疫苗证的社会环境环境，比肩加州的物价水平，迅速向中国一线城市靠拢的房价，高得离谱的税收，低廉的工资，对顶尖人才不友好的职场环境，烂得不行绿色能源政策，最后是坏到根部的欧洲央行货币政策。,"Dec 17, 2021",2021-12-17T09:33:19.000Z,"Germany is accelerating Sinicization.Check the social environment of your ID and vaccine certificate everywhere, compare the price level of California, the housing prices that quickly move closer to first -tier cities in China.No green energy policy, and finally the European Central Bank monetary policy.",Other,Policy,germany accelerating sinicizationcheck social environment id vaccine certificate everywhere compare price level california housing price quickly move closer first tier city chinano green energy policy finally european central bank monetary policy,1.0,0.0595238095238095,3.12,Neutral,1,Very Negative,Very Negative,China
FTChinese,@FTChinese,,3.0,2.0,3.0,,https://x.com/FTChinese/status/1149226822799896576,https://x.com/FTChinese,【全球清洁能源投资降至5年来最低水平】最新研究显示，今年上半年全球清洁能源投资降至1176亿美元，同比下降14%，同期中国清洁能源投资同比下降39%。去年中国可再生能源政策的突然转变——限制太阳能与风能补贴——使这一全球最大市场的新项目急剧减少。,"Jul 11, 2019",2019-07-11T08:00:00.000Z,"[Global Clean Energy Investment has fallen to the lowest level in 5 years] The latest research shows that the global clean energy investment in the first half of this year fell to $ 117.6 billion, a year -on -year decrease of 14%, and China Clean Energy Investment decreased by 39%year -on -year.Last year, the sudden change in China's renewable energy policy — restricting solar energy and wind subsidies -the new projects in the world's largest market have been reduced sharply.",Solar Energy,Policy,global clean energy investment fallen lowest level year latest research show global clean energy investment first half year fell billion year year decrease china clean energy investment decreased year yearlast year sudden change china renewable energy policy restricting solar energy wind subsidy new project world largest market reduced sharply,2.0,0.1078914141414141,3.22,Neutral,1,Very Negative,Very Negative,China
OR新媒体,@OR55102750,"https://pbs.twimg.com/media/FUNXSBMUYAAPD8M?format=jpg&name=small, https://pbs.twimg.com/media/FUNXSBMUYAAPD8M?format=jpg&name=small",,,,,https://x.com/OR55102750/status/1532164274994368512,https://x.com/OR55102750,"【中国财经媒体报道汇总：国常会部署加快稳经济一揽子政策措施落地生效】“十四五”可再生能源规划出炉；银保监会：强力整治保险机构大股东等关联方通过关联交易套取保险资金；上海市经信委：三家运营商已开通2万套数字哨兵。

【更多详情】http://oror.vip/%e4%b8%ad%e5%9b%bd%e8%b4%a2%e7%bb%8f%e5%aa%92%e4%bd%93%e6%8a%a5%e9%81%93%e6%b1%87%e6%80%bb%ef%bc%9a%e5%9b%bd%e5%b8%b8%e4%bc%9a%e9%83%a8%e7%bd%b2%e5%8a%a0%e5%bf%ab%e7%a8%b3%e7%bb%8f%e6%b5%8e%e4%b8%80/…","Jun 2, 2022",2022-06-02T00:56:44.000Z,"[China Financial Media Report Summary: The National Frequency will deploy to accelerate the stability of the economy and take effect in the implementation of the stability of the economy] ""Fourteen Five -Year Plan"" renewable energy planning; the China Banking Regulatory Commission: strong parties such as strong rectification of insurance institutions to collect insurance funds through affiliated transactions;Shanghai Economic and Information Commission: Three operators have opened 20,000 sets of digital sentry.

[More details] http://oror.vip/%E4%B8%AD%E5%9B%BD%E8%B4%E7%BBB%8F%E5%AAAPE6%8A%A5%E9%81%93%E6%B1%87%E6%80%BB%BC%9a%E5%BD%E5%B8%B8%BC%9A%E9%E9%E9%83%A8%E7%BD%B2%E5%8A%A0%BF%AB%A8%B3%B3%BB%E6%E6%8e%E4%B80/…… 80/……",Other,Economy,china financial medium report summary national frequency deploy accelerate stability economy take effect implementation stability economy fourteen five year plan renewable energy planning china banking regulatory commission strong party strong rectification insurance institution collect insurance fund affiliated transactionsshanghai economic information commission three operator opened set digital sentry detail httpororvipebadebbdebebbbfeaaapeaaeebebbbcaebdebbbcaeeeaebdbeaabfababbbbeeeeb,,0.2238095238095238,3.45,Neutral,4,Positive,Positive,China
汕頭融媒(100%Fo),@8r1tr3tQukv88nN,,,,,,https://x.com/8r1tr3tQukv88nN/status/1540701046166945792,https://x.com/8r1tr3tQukv88nN,"在“双碳”目标引领下，中国的减排降碳政策体系不断丰富，
水力发电、风力发电、光伏发电等可再生能源和新能源汽车发展迅猛，
已经成为世界首屈一指的可再生能源和新能源汽车大国。","Jun 26, 2022",2022-06-25T14:18:48.000Z,"Under the leadership of the ""double carbon"" goal, China's emission reduction and carbon -reducing policy system is constantly enriching.
Hydropower, wind power, photovoltaic power and other renewable energy and new energy vehicles have developed rapidly.
It has become the world's premier renewable energy and new energy vehicles.",Solar Energy,Policy,leadership double carbon goal china emission reduction carbon reducing policy system constantly enriching hydropower wind power photovoltaic power renewable energy new energy vehicle developed rapidly become world premier renewable energy new energy vehicle,,0.0412878787878787,3.08,Neutral,5,Very Positive, Very Positive,China
OR新媒体,@OR55102750,"https://pbs.twimg.com/media/FdI4ifhaUAc2OBa?format=jpg&name=small, https://pbs.twimg.com/media/FdI4ifhaUAc2OBa?format=jpg&name=small",,,,,https://x.com/OR55102750/status/1572381392574771200,https://x.com/OR55102750,【越南可再生能源发展战略与中企的机会】杨超：越南通过实行灵活的上网电价和投资保护政策来鼓励开发和使用可再生能源。中国企业积极参与越南可再生能源项目建设。【更多详情】http://oror.vip/%e8%b6%8a%e5%8d%97%e5%8f%af%e5%86%8d%e7%94%9f%e8%83%bd%e6%ba%90%e5%8f%91%e5%b1%95%e6%88%98%e7%95%a5%e4%b8%8e%e4%b8%ad%e4%bc%81%e7%9a%84%e6%9c%ba%e4%bc%9a/…,"Sep 21, 2022",2022-09-21T00:25:12.000Z,[Vietnam Renewable Energy Development Strategy and Opportunities for China Enterprise] Yang Chao: Vietnam encourages the development and use of renewable energy by implementing flexible Internet electricity prices and investment protection policies.Chinese companies actively participate in the construction of Vietnam renewable energy projects.[More details] http://oror.Vip/%E8%B6%8A%E5%8D%97%E5%8F%E5%86%94%9F%E8%83%BD%BD%E6%BA%90%E5%8F%91%E5%B1%95%E6%88%E7%95%A5%E4%E4%B8%AD%E4%BC%81%E7%9A%84%E6%9C%BA%E4%BC%9A/...,Other,Policy,vietnam renewable energy development strategy opportunity china enterprise yang chao vietnam encourages development use renewable energy implementing flexible internet electricity price investment protection policieschinese company actively participate construction vietnam renewable energy projectsmore detail httpororvipebaedefefebdbdebaefebeeaeebadebceaecbaebca,,-0.1333333333333333,2.73,Negative,4,Positive,Positive,China
