Post Body,sentiment
"おはようございます。
今朝は若葉台駅で市政報告してます。
朝から暑いです。

気候変動から地球環境を守る。
省エネ推進・再生可能エネルギー大幅普及を。などお話ししてます。
#稲城市
#日本共産党",0
"日本若者協議会(室橋祐貴代表理事)の来訪を受け、同協議会が主催する「日本版気候若者会議」などがまとめた気候変動やエネルギー政策に関する提言を受けました。未来の気候変動の影響を受ける当事者である若者の声を大切にしていきます。

気候対策の目標示せ／若者会議が公明に政策提言 #公明新聞",1
SDGs、ジェンダー、多様性、地球温暖化、再生可能エネルギー、太陽光パネル、メガソーラー、Colabo、学術会議、分科会、日本医師会、日教組、共産主義、反日主義、すべて諸悪の根源。いつか、必ず鉄槌が下されよう言葉。この言葉に嫌悪感、吐き気を催すのは私だけ？,1
"◤原子力の豆知識◢

日本全体のCO2の排出量のうち、約4割は発電によるもの。地球温暖化を防ぐためには、CO2の排出を減らす必要があります。

#原子力発電 や、再生可能エネルギーは、発電時にCO2を排出しません。

原子力がすごい理由「CO2を排出しない！」はこちらhttps://jaif.or.jp/journal/feature/sdgs/reason/02.html…",0
この世界は矛盾に溢れている。先進国はこれまで地球温暖化対策として、電気自動車（EV）や再生可能エネルギーの普及を目指してきた。だが、それらに使う原材料はアフリカや中国に頼り、採掘過程などで生じる環境汚染などに十分な関心を払ってこなかった。,0
"原発や石炭火力発電(日本には、石炭火力発電所が150以上あるそうです…石炭火力発電は、二酸化炭素を多量に排出します…二酸化炭素が、地球温暖化の原因です…(ーー;))に頼らずに、再生可能エネルギーに転換出来るはずです(  ￣ー￣)ノ
僕は、自民党の原子力発電所の新設の政策に反対です(￣ヘ￣メ)",0
共産党の人が「気候変動危機対策のために原発再稼働はやめろ」って言ってるけど、CO2排出対策なら原発動かしたほうがいいんじゃね？再生可能エネルギー？日本の山を全部メガソーラーにすんのかな。,1
暑い、真夏とは言え暑すぎる。ここ十数年夏・冬が長く、春・秋が縮んでいる。地球温暖化とそれによる気候変動が原因である。化石燃料をエネルギーとする大量生産・大量消費の経済政策の結果である。日本の経済界はそれを十分反省した上でSDGsを口にすべきである。,0
"予見可能性の高いエネルギー基本計画・改定はできるのか？

日本の中長期的なエネルギー政策「エネルギー基本計画」の見直し議論が、今年、本格化する。安全保障と気候変動対策を両立するため、再生…
#矢嶋康次
#エネルギー政策 #エネルギー基本計画 #再生エネルギー #日本",0
"本日、環境委員会にて大臣所信に対する質疑を行いました。
・ESG投資と国際基準動向について
・万博アクションプラン、万博への気候変動適応に関する項目追加について
・再生可能エネルギーについて

#うるま譲司 #日本維新の会 #大阪8区",1
"／
　#電気の4分の3 を
　輸入石炭・天然ガス・石油に
　頼っている日本
＼

高騰する電気代は、化石燃料のエネルギー価格高騰を反映しています。

100%国産の再生可能エネルギーなら、気候変動対策になるだけではなく、エネルギーの安全保障にもつながります。

https://act.gp/3H1vDDL",0
"グリーントランスフォーメーション（GX）への取り組みは、環境負荷の低減と、経済成長を両立させるための重要な戦略です。再生可能エネルギーへのシフト等を通じ、地球温暖化の防止に貢献することが重要。日本企業におけるGXの取り組み事例も多数あります　※詳細はリプ欄へ↓
#企業公式相互フォロー",0
#モーニングショー  バカコメンテータだらけ！日本は再生可能エネルギーにあまり向いていない！再生可能エネルギーは気候に左右されるので、四季で気候変動が大きい日本では、安定した供給は難しく、少なくとも主電源にはできない。,0
"亡国のエコ
今すぐやめよう太陽光パネル 
杉山大志
いま日本は、脱炭素のためとして再エネを最優先し、化石燃料産業を痛めつけ、自らのエネルギー供給を危うくしています。
地球温暖化による災害の激甚化など一切起きていません。今のエネルギー政策は根本的に変える必要があります。",0
エネルギー貧困やエネルギー危機に対応するためとして、日本はアジア各地でガス開発を進めています。しかし新規の化石燃料事業を推進することは気候変動対策と逆行します。再生可能エネルギーを中心とした社会への移行をもとめ、アジア各地で #DontGasAsia を掛け声にアクションが行われました。,1
"「エネ基」って何？～2024年のビッグイシュー：日本のエネルギー政策を考える
2023年12月21日（木）　20:00～21:00

まもなく迎える2024年、気候変動対策にとって重要な「エネルギー基本計画（通称：エネ基）」改定の議論が始まります。",1
"再生可能エネルギー導入戦略、熊取町地球温暖化対策実行計画 : 概要版. 区域施策編
熊取町 (大阪府) : 熊取町住民部環境課環境グループ, 2023.3",0
海面上昇により移住を迫られるアラスカの人々を描いた映画『ニュートック』。気候変動の被害による難民は、現在数千万人にものぼる。解決策の一つである再生エネルギーへの転換が世界で進むなか、日本のエネルギー政策はどこへ向かうのか。,1
"太陽光パネル80万トンが寿命へ。廃棄パネルはどうする？(Forbes JAPAN)
#Yahooニュース
https://news.yahoo.co.jp/articles/aace8a17c5f89e9d022e1bc5489000033c6cfeb3?source=sns&dv=pc&mid=other&date=20231029&ctg=dom&bt=tw_up… 
それもそうだが、私たち「再生可能エネルギー発電反対派」が疑問視しているのは
「地球温暖化防止のために環境破壊を促進する」
がなぜ進んでいるのか。",0
"国際エネルギー機関（ＩＥＡ）はインドとの加盟交渉を始める方向で最終調整へ！

現在、米欧を中心に31カ国が加盟していますが、
アジアのメンバーは日本や韓国にとどまっています。
巨大消費国のインドを加えることで、再生可能エネルギーへの移行など、気候変動対策で足並みをそろえやすくなります。",0
"30日に始まる国連気候変動枠組み条約第28回締約国会議（COP28）で、有志国が世界全体の再生可能エネルギーの設備容量を2030年までに3倍にする誓約を表明する。日本も賛同する方向で調整している。

再生エネ「30年までに3倍」 UAEなど誓約、日本も賛同へ調整 https://l.smartnews.com/TUUm5",0
"気候変動
日本以外と温度差
技術で脱炭素に貢献を G7

再生可能エネルギーの
導入拡大に関し
太陽光発電は
現状の３倍強の
１０億キロワット以上に
洋上風力発電も
各国の目標に基づき
１億５千万キロワット増やす

日本は太陽光発電等の
適地が少なく
再エネを増やしにくい",0
"#豊島区 は2050年に目指すべき姿として

全ての区有施設で再生可能エネルギー由来の電力を使用する「2050としまゼロカーボン戦略」を掲げています

しかし、国の原発回帰や区の再開発により矛盾が生じているのが現状です

本気の気候変動対策は日本共産党に託してください！

#豊島区議会議員選挙",0
"日本は化石燃料に毎年平均100億ドル以上を費やす一方で、再生可能エネルギー事業にはその8分の1の金額しか投じられていません

日本政府は、化石燃料への投融資や誤った気候変動対策の推進をやめ、クリーンエネルギーへの支援を強化すべきです

#JapanStopGreenwashing",1
"日本が不名誉な「化石賞」を受賞

気候変動対策を話し合う国連の会議

「COP28」で、国際的な環境NGOは、日本が石炭火力発電所などを延命させ、再生可能エネルギーへの移行を遅らせているとして、気候変動対策に消極的だと判断した国に贈る「化石賞」に選んだと発表しました。",0
"都知事選の公約の一つになってるメガソーラー。

確かに、再生可能エネルギーだけど、地球温暖化対策にはならないと断言。

ソーラー設置のために刈り取られる樹木の吸収する二酸化炭素はどうなるの？

狭い日本でやることじゃない。

ビルの屋上で使う程度にするのがせいぜいだと思うよ。",0
"#俳句
#サングラス

チョイ悪へ憧れた日の
サングラス

石原裕次郎のサングラス 格好良かった

私もかけてみたがまるで誘拐犯

しかし、ともかく暑い
暑すぎる

国連事務総長も気候変動に警鐘を鳴らしいる

日本も石炭火力の延命では無く

再生可能エネルギー
省エネへの転換を！",1
"女性と少女は、次のような分野でリーダーシップを発揮し、より良い世界の構築に貢献しています。
自然保護
農業
再生可能エネルギー
気候変動への取り組み
変化の担い手として、他の人たちと同様に、彼女たちも持続可能な未来に向けた解決に寄与していくことが求められています",0
もはや毎年恒例になってしまった。気候変動対策に消極的な国に皮肉を込めて贈られる賞「化石賞」に4年連続で日本が選ばれる。石炭火力発電所の延命措置と再生可能エネルギーへの移行の遅れが化石賞受賞の理由だそう／日本に「化石賞」 “気候変動対策に消極的” 国際NGOが発表,1
COP28気候変動交渉における「ファイナンスデー」に、世界各国の市民社会団体が、日本政府に対し新たな化石燃料プロジェクトへの資金提供の停止と、再生可能エネルギーへの支援を求めるアクションを行いました。https://sekitan.jp/jbic/2023/12/04/5871…,0
{ZH-Fighting Stigma} IEEJ - ログイン - 一般財団法人 日本エネルギー経済研究所: エネルギーと環境、および中東の政治経済に関する総合的シンクタンク。エネルギーと地球温暖化問題、エネルギー需給と価格動向、再生可能エネルギー、中東 ... http://dlvr.it/TBRtzH,0
{JA-Fighting Stigma} IEEJ - ログイン - 一般財団法人 日本エネルギー経済研究所: エネルギーと環境、および中東の政治経済に関する総合的シンクタンク。エネルギーと地球温暖化問題、エネルギー需給と価格動向、再生可能エネルギー、中東 ... http://dlvr.it/SkfQQp,0
特番『気候変動への日本政府の対応と再生可能エネルギー問題　ーその１ー』ゲスト：経済安全保障アナリスト　平井　宏治氏 https://youtu.be/2ZFbjutzbGw @YouTubeより,1
"最近新宿歩いてると外国人観光客めちゃくちゃ増えてるから
日本株はインバウンド銘柄強いかもね
ドーミーイン経営の共立メンテナンス、ドン・キホーテのパンパシフィックHDなど
あと忘れられがちだけどアメリカは気候変動対策の大規模歳出が可決されてるから
再生可能エネルギー銘柄が強い",0
"献金で政策歪められまくり
日本の信頼失墜されまくり

共　山下氏
「CO2排出量上位50社のうち30社が自民へ献金
政府機関への天下り天上がり

温室効果ガス排出関連団体から献金5年で13億弱

政府の気候変動、エネルギー政策が献金企業から影響を受け、日本がパリ協定と整合する政策と乖離
#政権交代",0
"新冷戦下のエネルギー政策
杉山大志
https://youtu.be/KZmA5QVauX0
ウクライナでの戦争が勃発し、台湾有事のリスクも高まっており、先進国 対 露・中という構図で世界は新冷戦の様相を呈してきました。 
地球温暖化のリスクと安全保障のリスクについて分析し、日本のエネルギー政策について提言します。",0
"「EV少なすぎる日本に不安」　元アイルランド大統領が語る気候変動
https://mainichi.jp/articles/20230516/k00/00m/040/149000c…

「Climate　Justice（気候正義）」を提唱してきた元アイルランド大統領が、日本のエネルギー政策について「正直に言うと心配です」と懸念を示しました。その理由とは…。",0
"地球温暖化？？
人間の活動で出されるＣｏ２は
地球上で自然発生するＣｏ２の３％
こんなことで便利な物を捨てる
バカな話。
再生可能？？エネルギーで
不便になり
電気代高くなり
一部の嘘つきが
ぼろ儲け。",0
"米国の気候特使ジョン・ケリー氏：テクノロジーに頼って二酸化炭素を除去するのは危険。
地球温暖化を止めるために、再生可能エネルギーへの移行などの既存の対策をより迅速に展開する必要がある。
→日本も同様の傾向があるのでは

https://theguardian.com/us-news/2023/apr/25/john-kerry-relying-technology-remove-carbon-dioxide-dangerous…",0
"再生可能エネルギー主力電源化に向けたエネルギー分野に係る調査・検討委託業務報告書. 令和5年度
[東京] : 環境省地球環境局地球温暖化対策課, 2024.3",0
"気候変動を食い止めるべく、世界で再生可能エネルギーの導入が促進されている。日本は、2022年の全発電電力量において、再生可能エネ……

→　日本一の風力発電施設「ウィンドファームつがる」と今後の風力発電",0
{JA-Fighting Stigma} IEEJ - ログイン - 一般財団法人 日本エネルギー経済研究所: エネルギーと環境、および中東の政治経済に関する総合的シンクタンク。エネルギーと地球温暖化問題、エネルギー需給と価格動向、再生可能エネルギー、中東 ... http://dlvr.it/T6zM6k,0
{JA-Fighting Stigma} COP28報告会（発表資料） - 一般財団法人 日本エネルギー経済研究所 - IEEJ: エネルギーと環境、および中東の政治経済に関する総合的シンクタンク。エネルギーと地球温暖化問題、エネルギー需給と価格動向、再生可能エネルギー、中東 ... http://dlvr.it/T0ZXzt,0
"喫緊の課題となっている気候変動問題。

リコーグループは、事業活動で使う全電力を再生可能エネルギー由来とすることを目指す「RE100」に日本企業として初めて参加表明するなど、この問題に先駆的に取り組んできました。

実践内容と成果、成果を開示することの重要性とは？",1
"再生可能エネルギー主力電源化に向けたエネルギー分野に係る調査・検討委託業務基礎資料集. 令和5年度
[東京] : 環境省地球環境局地球温暖化対策課, 2024.3",0
"自然体で体たらくしているからこそ

「昭和のままの日本でいたい」
「未来なんか信じたくない」
「進歩も成長もいらない」
「IT化もDXもいらない」
「EVも生産したくならない」
「再生可能エネルギーもいらない」
「石油と原発が永遠に続く」
「地球温暖化なんか知らない」

貧乏な後進国になるよ～！",0
"パリオリンピックで関心が高まる気候変動対策。Appleが取引先に再生可能エネルギーの100％使用を義務付けたことが判明。NIKKEI GX編集長が日本企業の動向を3分で解説します。ポッドキャスト【日経 #プライムボイス】
https://nikkei.com/article/DGXZQODL27DV70X20C24A6000000/?n_cid=SNSTW005…

@nikkeipodcast",1
"「脱・温暖化！ひろしま２０２４」をオンラインで開催します（令和６年１月１９日）
国際環境経済研究所理事・主席研究員の竹内純子氏による地球温暖化に関する講演「日本のエネルギー政策の現状と課題－カーボンニュートラルに向けて」を行います。
https://city.hiroshima.lg.jp/site/ondanka/360460.html…",0
"地球温暖化による、日本への影響は？

気候変動で、気温上昇や災害発生の他に、健康被害なども予測されています。今年は暖冬と言われていますが、暖かい日が続くことに危機感を覚えます。地球温暖化を抑制するためにも、再生可能エネルギーや脱炭素を推進していきましょう！

#気候変動 
#地球温暖化",0
"地球温暖化の対策の一環として再生可能エネルギーを利用した発電方法に注目が集まっています。

バイオマス発電（生物由来燃料を用いた発電）もそのうちの一つであり、日本だけでなく世界でも導入が進んでいます。",1
昨年発効したEUの再生可能エネルギー指令の改定では森林由来のバイオマス燃料の規制が強化されました。バイオマスの需要拡大が森林破壊の原因になることが危惧されたからです。日本では海外からのバイオマス燃料の輸入が急増しています。気候変動や生物多様性の危機が加速する今問われていることとは？,1
ロシアによるウクライナ侵攻の影響で国際的にエネルギー供給が混乱している。ただ気候変動対策は地球規模の課題で、脱炭素に向けた大きな流れを止めてはならない。日本政府は2050年の温暖化ガス排出実質ゼロに向けたグリーン成長戦略の中で再生可能エネルギーを主力電源とし…,0
"おはようございます。
今朝は稲城駅で市政報告してます。
朝から暑いです。

気候変動から地球環境を守る。
石炭火力から決別。省エネルギーの本格推進・再生可能エネルギーの普及拡大で2030年までにCO2の6割削減を。
などお話ししてます。
#稲城市
#日本共産党",1
ドイツは昨年 #脱原発 を達成し、再生可能エネルギーが電源比率の5割を超えた。日本では独について、ウクライナ戦争等の影響で電力価格が高騰して気候変動政策が失速し #原発回帰 を検討しているといった言説が絶えない。6月に来日したモーガン外務事務次官に実態を聞いた。,0
"地球温暖化対策のため、日本でも政策の方向性を決めようと外務省は2018年に「気候変動に関する有識者会合」を設置。
その会合のメンバー9名のうち3名が自然エネルギー財団のメンバーで、当時外務大臣だった河野氏による説明が現在求められている。
いつから中国が関与していたのか、それが大きな問題。",0
"化石賞は地球温暖化対策に後ろ向きだったり、交渉の進展を妨げたりした国などに贈られる賞。

岸田首相「～～～」
CAN「見せかけの環境配慮に他ならない」

日本は化石燃料～東南アジアで普及させること～を想定しており

「化石燃料から再生可能エネルギーへの移行を遅らせる」と批判した。",0
"脱炭素と経済の循環を生み出す、アメリカの気候変動政策

グリーン産業への投資を促すインフレ抑制法で、再生可能エネルギーや電気自動車、水素などの脱炭素関連に多くの投資が集まっています！アメリカの影響力は大きくなり、日本にもその波がやってくるかも

参考記事はスレッドに",0
"再生エネ「30年までに3倍」 UAEなど誓約、日本も賛同へ調整(毎日新聞)
30日に始まる国連気候変動枠組み条約第28回締約国会議（COP28）で、世界全体の再生可能エネルギー容量を2030年までに3倍にする誓約を表明する石炭火力発電の段階的削減等も誓約に盛り込む
https://news.yahoo.co.jp/articles/ecc67b3340813711951d980ff4993c027fa5b1e5…",1
"【NHK】齋藤経済産業大臣と気候変動対策の専門家が千葉県流山市で対談。シンクタンクの代表、平田仁子さんは中国をはじめ各国が再生可能エネルギーなどの産業の育成を進めている中で日本が世界をリードできるよう後押しする政策が必要だと呼びかけた…

新しい大林ミカか？",0
"脱炭素、地球温暖化、再生可能エネルギー、とかとか
みんな単なる利権で一部界隈が金儲けのために騒いでるって事ですよね

メガソーラーとか風力発電とか、早く規制しないと日本の自然が破壊されまくりです

日本人洗脳されすぎ",0
"日本に「化石賞」 “気候変動対策に消極的” 国際NGOがCOP28で発表 | NHK | 脱炭素社会への動き

「国内だけでなくアジア全体で石炭火力などを延命させ、再生可能エネルギーへの移行を遅らせている」などと批判",0
"再生可能エネルギー？
環境森林税増設？
これの為に？
いい加減さ日本國民も勉強しろよ
レジ袋？紙ストロー？
地球温暖化？SDGs？
ぜーんぶ茶番の嘘っぱちだっての
意識高い系？
踊らされてる系の間違いだろ",0
"３メガ銀、気候変動対応で環境団体に苦慮　株主総会 https://sankei.com/article/20230618-USTI23UWAZOMZPWLIXRKOYLUP4/… 

気候ネットは「国際社会は再生エネルギー関連開発投資に重きを置く。日本のメガバンクも持続可能な、真に『グリーン』なエネルギーシステム構築を目指すべきだ」と指摘する。",1
日本では、一般の人の地球温暖化の認識はかなり低いように見える。ガソリン車は健在だし、街を歩くと電力を使うイルミネーションの嵐、再生可能エネルギーにも反発が強いし。欧米とはだいぶ別世界。,0
"地球温暖化、CO2削減のためという嘘を使い再生可能エネルギー利権が日本の国土を売り渡し環境破壊しまくる。
それが良いことだと信じている無知な国民
2035年までに日本がカーボンニュートラル目標達成しても世界のCO2排出量の0.0006%しか削減できない。",0
"おはようございます。
今朝は稲城駅で市政報告してます。
朝から暑いです。

気候変動から地球環境を守る。
昨年のＣＯＰ２８で日本も含め１１８カ国が誓約した再生可能エネの設備容量３倍化の実現を。政府は省エネと再エネ最優先のエネルギー政策に転換を。などお話ししてます。
#稲城市
#日本共産党",1
"日本は2050年度のCO2排出量を実質ゼロにする数値目標を表明しています。あと26年！今後は、省エネのみならず再エネ(再生可能エネルギー)を取り入れた建築に移行します。
我が家は、今ある太陽熱温水器に加え、太陽光発電(EV車にも)、ペレットストーブ(進化が期待)を視野に長期計画を立てて行きます！",1
"若者たちが左翼化している世界の状況を知らない日本の言論人たちが気の毒ではある…。

再生可能エネルギーの発電量が増えても、化石燃料による発電量は減らず、増えている。
若い世代が割りをくう気候変動への対策には左翼的なアジェンダ、「脱成長」しかないと思うが…",1
"第9回日中韓サミット開催、日中韓FTA交渉加速合意

岸田弱腰政府のFTA合意で、太陽光パネル  風力発電機  EV自動車が、雪崩の如く日本に輸入され中国企業の支援をする事に
さらに日本政府や東京都は、輸入車にも補助金を出す始末

アメリカ・EUは中国製品に関税かけてるのに",0
脱炭素社会の実現に向け、世界各国ともに日本もエネルギー政策の大転換に踏み出そうとしている。太陽光・風力発電など再生可能エネルギーの現状と、導入拡大の展望・見通しについて経済産業省 資源エネルギー庁省エネルギー・新エネルギー部の井上博雄部長に… 続きを読む →,0
"【中国】風力発電機の新設、23年は過去最高に https://nordot.app/1132719157248082468… 
風力発電機（設備容量ベース）が前年比58％増の77.1ギガワットとなり、過去最高になったと発表した。陸上風力発電への中央政府からの補助金が廃止された21年以降で初めて、陸上・洋上ともにプラス成長となった。",0
"再エネが良い、太陽光発電が良い。太陽光をベースロード電源として基幹に繋げ。日本は「化石賞」を恥じろ！
と言ってFITだ再エネ補助金だ言っていた政党、個人、団体。まだまだまだ太陽光パネル設置しないといけないんだが、【それで良いんだね】？クラウドに記録され、いつでも検索されてるよ",0
"日米合同委員会…官僚政治が日本を壊す。
エンジン車全般(特に日本車)が売れているのに電気自動車への補助金支給。
太陽光発電パネル中国メーカー倒産の連鎖なのに変わらず補助金支給。
食料自給率など無視した減反政策による米不足。
JAバンク巨額預金をウォール街へ貢ぐか…",0
小泉純一郎に次ぐ日本売国破壊政治家は菅義偉元総理。2020年10月突然始めたカーボンN宣言？さらにはIR・太陽光※風力発電へのシフト宣言。現実を全く無視した日本産業破壊政策である。これを受け継いだのがC利権まみれの岸田ATM+売電の犬は増税してウクライナ支援にあてる有様。日本やばい！,0
"アメリカもEUも中国の太陽光発電に対して不正競争で対策している。
日本は対策どころかいまだにウェルカム状態・・・

EU、太陽光発電で中国企業調査　政府補助金で競争を阻害か | 2024/4/3 - 共同通信",1
外国の浸透工作を撃退し安心で安全な日本国のための政治をお願いします。直近では再エネ賦課金の大幅値上げについては疑問だらけです。外国を利するための再エネ政策で、国民が余計な負担を強いられ、太陽光発電（風力発電）のための火力発電所の稼働等、一体誰のための再エネ政策なのでしょうか。,0
"風力も太陽光も、エネルギー密度が低いので広大な土地が必要になるし、設備費用や廃棄費用の割りに発電量が少なく、元を取るのが難しい。

日本では高額な再エネ賦課金で辻褄を合わせているが、歪な補助金漬けでは産業として持続可能とは言えない。",1
"日本は、平地面積当たりの太陽光発電導入量では、世界最上位。

https://meti.go.jp/shingikai/sankoshin/green_innovation/green_power/pdf/010_04_00.pdf…",1
"中国の風力発電企業を調査 EU、政府補助金巡り競争阻害か

ＥＵにくらべて日本政府のなんと甘い事！
調査どころか政府が率先して導入を手助けしてる。
そんな腐った議員がごろごろいる！",0
脱炭素社会の実現に向け、世界各国ともに日本もエネルギー政策の大転換に踏み出そうとしている。太陽光・風力発電など再生可能エネルギーの現状と、導入拡大の展望・見通しについて経済産業省 資源エネルギー庁省エネルギー・新エネルギー部の井上博雄部長に… 続きを読む →,0
GXを推進する政策は本当に日本国民を豊かにしているのか？豊かになっているのは利権者だけじゃないか！ヨーロッパの価値観が日本国民を貧困化している一因で、まさに偽善政策。パリ協定を離脱したトランプ大統領の決断は正しかったかもしれない。太陽光や風力発電で国民を豊かに出来ないぞ！,0
"【未来予想図】
各国が風力発電や太陽光発電など再生可能エネルギーの恩恵を受け、安価なエネルギーで順調な経済成長を続ける中、日本のみ大量の原発を抱えてリスク大国に、、、
石原良純のような反知性主義者にエネルギー政策を語らせたらダメ、失われた30年が50年になりますよ！
#モーニングショー",1
九州を含む出力抑制が多いエリアで、FIT太陽光発電所をFIP＋蓄電池併設に切り替えることで、蓄電池の投資が6-8年で回収できるレベルになってるんですね。アグリゲーターの方々から聞いたってことは、実際に現場での実感があるってことですよね。それに加えて、そういう前提の補助金もあるって話。これ,0
"日本でも、太陽光発電・風力発電は、ともにコストは着実に低下。

だが、再エネ買取制度（FIT）による買取価格が2030年代半ば頃まで高止まり続けるため、特に太陽光発電に係る国民負担（再エネ賦課金）の高止まりも解消しない。

https://meti.go.jp/shingikai/sankoshin/sangyo_gijutsu/chikyu_kankyo/ondanka_2050/pdf/001_04_00.pdf…",1
"日本に必要な政策ってこれじゃね？

1.消費税廃止
2.インボイス廃止
3.WHO脱退
4.財務省解体
5.スパイ防止法制定
6.不法移民強制送還
7.太陽光・風力発電廃止
8.国連脱退
9.国内食糧受給率向上支援
10.厚労省解体または改正
11.国内研究開発支援
12.日本の土地売れなくする",1
"記事=原発コストは太陽光発電の何倍？ アメリカの最新試算でわかった驚きの数字 次期基本計画でどうする日本政府

感想

太陽光発電が安いから再エネ賦課金を廃止

畜電池を入れても安い

原発はコスト高だから、新設せずにフェードアウト

原発の補助金、交付金も廃止",0
太陽光発電義務化とか緑色のくせに緑の緑地破壊しようとしたりとか、外国からの起業に補助金とか意味不明なのに政治の中枢にいる。ほんと有権者は日本の破壊政策に気づかずに投票しているのでしょうか？,0
"風力発電や太陽光発電など再生エネルギーをメインに使用すると言っているRapidasとは日本の半導体産業復活の肝いり政策。しかし、高効率の火力発電などを既存の発電施設を新設したほうが良いのでは？

Rapidus設立の本当の狙いはどこにあるのか？ https://youtu.be/GVQsSgMxwD4?si=ViNUmwHEJnMwAKcW… @YouTubeより",0
ハンファ、太陽光発電の日本限定新ブランド　補助金活用も https://kaden.watch.impress.co.jp/docs/news/1580905.html… #ハンファジャパン #ソーラーパネル #太陽光発電,0
風力発電の低周波被害を知って下さい。政府や行政の洗脳政策で、酷い弾圧が行われています。「考える会」などの心理トリックの罠があります。世界では、地域の住民が懸命に風力反対をやっています。日本だけ、それがない。水俣病と同じやり方になっています。,1
再エネ固定価格買取制度では本来、メガソーラーは推進すべきものでは無い、まずは日本では屋根ソーラー（※家庭の屋根だけでなく）を推進して、産業廃棄物処分場跡地などにメガソーラーというシナリオも存在しましたが、あの元総理大臣とあの経営者が乱入したら、真逆に・・・（中央環境審議会資料）,1
"日本が弱くなったのはイルミナティ・サタニストに命令された再エネ戦略を糞真面目にやったからで、CO₂温暖化など戯言なのに石油・ガス・石炭をどんどん燃やして火力発電を行い、太陽光発電や風力発電を止めなかったから。
ﾊﾞｶな固定価格買取制度を設けて電気代を上げ、やらなくていい再エネグリー",0
"先日の #三浦瑠麗 氏の件からも分かるように、再エネは利権の温床になっています。温床となってしまった原因に民主党政権時代に制定された再生可能エネルギー固定価格買取制度にあります。
#再エネ賦課金 は日本国民が支払っている電気代に含まれており、その廃止は必須です。
https://jbpress.ismedia.jp/articles/-/73802…",1
パー券キックバック検証と同様に日本電力インフラ植民地化計画「不良在庫のソーラーパネルは大企業外資が買取る、ソレを地方に置くだけで補助金・再エネ賦課金を日本国民から徴収」も検証して固定価格買取制度廃止してほしいなー,0
日本で再エネの蓄電池のニーズが生まれなかったのはFIT制度で再エネはでなり売電でき需給調整などの必要性がなかったから。蓄電池が担う役目を火力の出力調整、揚水発電、地域間連系などで調整するルールがあった為だったとも言えるのでは。そもそもどこもご当地系新電力が蓄電池つけてないですよね,1
日本版FIT導入前、「再エネで電気代が安くなる」「コーヒー１杯ぐらいの負担で電気が賄える」と言っていた人間が居たが、ペテン師だった。今でも再エネ導入に鼻息を荒くする人間をよく見るが、大抵ペテン師。再エネ賦課金が存在する限り、電気代は右肩上がりに上がり続ける。,1
"科学誌サイエンスの

20年間で
世界で実施された

大きなCO2削減を
もたらした気候政策
の論文

そこに
日本の政策はなく

原発もない

ここに載る
再エネの
固定価格買取制度は

民主党政権が
導入したが

その後の政権の
後押しがおそい

現政権は
国力を語るが

研究力は削ぎ

やるのは
軍拡のみか",1
